scenario_id,target_id,model,n_trades,n_skipped,n_unrealized,total_pnl,return_on_bankroll,return_on_turnover,win_rate,avg_pnl,max_drawdown,pnl_per_trade_std
DOM01,target_delta_24h,limix,0,290,0,0.0,0.0,,,,0.0,
DOM01,target_delta_24h,base_rate,0,443,0,0.0,0.0,,,,0.0,
DOM01,target_delta_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM01,target_delta_24h,mean_reversion,0,94,0,0.0,0.0,,,,0.0,
DOM01,target_delta_24h,momentum,0,94,0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,limix,0,306,0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,base_rate,0,0,0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,mean_reversion,0,87,0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,momentum,0,30,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,limix,44,51,0,100.86818794854369,0.010086818794854369,0.022924588170123567,0.29545454545454547,2.2924588170123568,84.25515733398284,31.562510426869572
TRD01,target_up_1h,base_rate,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,mean_reversion,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,momentum,0,0,0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,limix,52,265,0,-67.89471384930378,-0.006789471384930378,-0.013056675740250727,0.46153846153846156,-1.3056675740250727,149.09930516545995,13.624903820103203
TRD02,target_delta_6h,base_rate,0,0,0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,mean_reversion,8,73,0,-64.02287123707718,-0.006402287123707718,-0.08002858904634648,0.625,-8.002858904634648,67.17273954116062,28.694649374210353
TRD02,target_delta_6h,momentum,8,73,0,-4.541544136728944,-0.00045415441367289435,-0.0056769301709111795,0.375,-0.567693017091118,55.551758183337114,25.965285473378863
DOM02,target_delta_24h,limix,0,72,0,0.0,0.0,,,,0.0,
DOM02,target_delta_24h,base_rate,0,0,0,0.0,0.0,,,,0.0,
DOM02,target_delta_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM02,target_delta_24h,mean_reversion,0,45,0,0.0,0.0,,,,0.0,
DOM02,target_delta_24h,momentum,0,45,0,0.0,0.0,,,,0.0,
DOM02,target_up_24h,limix,0,95,0,0.0,0.0,,,,0.0,
DOM02,target_up_24h,base_rate,0,0,0,0.0,0.0,,,,0.0,
DOM02,target_up_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM02,target_up_24h,mean_reversion,0,0,0,0.0,0.0,,,,0.0,
DOM02,target_up_24h,momentum,0,0,0,0.0,0.0,,,,0.0,
DOM03,target_delta_24h,limix,0,62,0,0.0,0.0,,,,0.0,
DOM03,target_delta_24h,base_rate,0,62,0,0.0,0.0,,,,0.0,
DOM03,target_delta_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM03,target_delta_24h,mean_reversion,0,57,0,0.0,0.0,,,,0.0,
DOM03,target_delta_24h,momentum,0,57,0,0.0,0.0,,,,0.0,
DOM03,target_up_24h,limix,0,67,0,0.0,0.0,,,,0.0,
DOM03,target_up_24h,base_rate,0,0,0,0.0,0.0,,,,0.0,
DOM03,target_up_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM03,target_up_24h,mean_reversion,0,0,0,0.0,0.0,,,,0.0,
DOM03,target_up_24h,momentum,0,0,0,0.0,0.0,,,,0.0,
DOM04,target_delta_24h,limix,0,38,0,0.0,0.0,,,,0.0,
DOM04,target_delta_24h,base_rate,0,0,0,0.0,0.0,,,,0.0,
DOM04,target_delta_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM04,target_delta_24h,mean_reversion,0,33,0,0.0,0.0,,,,0.0,
DOM04,target_delta_24h,momentum,0,33,0,0.0,0.0,,,,0.0,
DOM04,target_up_24h,limix,0,50,0,0.0,0.0,,,,0.0,
DOM04,target_up_24h,base_rate,0,0,0,0.0,0.0,,,,0.0,
DOM04,target_up_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM04,target_up_24h,mean_reversion,0,0,0,0.0,0.0,,,,0.0,
DOM04,target_up_24h,momentum,0,0,0,0.0,0.0,,,,0.0,
DOM05,target_delta_24h,limix,0,70,0,0.0,0.0,,,,0.0,
DOM05,target_delta_24h,base_rate,0,125,0,0.0,0.0,,,,0.0,
DOM05,target_delta_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM05,target_delta_24h,mean_reversion,0,64,0,0.0,0.0,,,,0.0,
DOM05,target_delta_24h,momentum,0,64,0,0.0,0.0,,,,0.0,
DOM05,target_up_24h,limix,0,95,0,0.0,0.0,,,,0.0,
DOM05,target_up_24h,base_rate,0,0,0,0.0,0.0,,,,0.0,
DOM05,target_up_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM05,target_up_24h,mean_reversion,0,90,0,0.0,0.0,,,,0.0,
DOM05,target_up_24h,momentum,0,100,0,0.0,0.0,,,,0.0,
